Title,Plan Number,Plan,Plan Version,Amount,Effective,Ended,Per,Comment,Rate Type,Dwelling,1 BR Unit,2 BR Unit,3 BR Unit,4+BR Unit,Trips,Work in progress,Strikeout,Applies to,AppliesTo,1ET,BaseRate,BaseRateDate,1ETBaseRate,BaseRateDwelling,CombinedForLookup,ChargeControl,ChargeMultiplier,Overrides,Autotext
"Structured open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.4","1,096","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Person",,"Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential""]","Residential","2,630",,,,,"2015-1-Structured open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.4","235","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Person","where developer dedicates and embellishes passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","564",,,,,"2015-1-Casual open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.4","2,294","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Lot","where developer does not dedicate and embellish passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","5,506",,,,,"2015-1-Casual open space",,,,
"Structured open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.5","1,117","1/07/2016 12:00 AM","30/06/2017 12:00 AM","Person",,"Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential""]","Residential","2,681",,,,,"2016-1-Structured open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.5","237","1/07/2016 12:00 AM","30/06/2017 12:00 AM","Person","where developer dedicates and embellishes passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","569",,,,,"2016-1-Casual open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.5","2,317","1/07/2016 12:00 AM","30/06/2017 12:00 AM","Lot","where developer does not dedicate and embellish passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist""]","Residential; Tourist","5,561",,,,,"2016-1-Casual open space",,,,
"Structured open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.7","1,297","1/07/2018 12:00 AM","30/06/2019 12:00 AM","Person",,"Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential""]",,"3,113",,,,,"2018-1-Structured open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.7","270","1/07/2018 12:00 AM","30/06/2019 12:00 AM","Person",,"Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential"",""Tourist""]",,"648",,,,,"2018-1-Casual open space",,,,
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.7","2,633","1/07/2018 12:00 AM","30/06/2019 12:00 AM","Lot",,"Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential"",""Tourist""]",,"6,319",,,,,"2018-1-Casual open space",,,,
"Structured open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.8","1,389","1/07/2019 12:00 AM","30/06/2020 12:00 AM","Person",,"Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential""]",,"3,334","1,043","39,988","2,503","2.4","2019-1-Structured open space","Structure1","ET","5","dcp33"
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.8","285","1/07/2019 12:00 AM","30/06/2020 12:00 AM","Person","where developer dedicates and embellishes passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential"",""Tourist""]",,"684","224","39,988","538","2.4","2019-1-Casual open space","CasDed1","ET","5","dcp32"
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.8","2,779","1/07/2019 12:00 AM","30/06/2020 12:00 AM","Lot","where developer does not dedicate and embellish passive open space","Indexed","2.4","1.3","1.7","2.1","2.4",,,,"[""Residential"",""Tourist""]",,"6,670","910","39,988","2,184","2.4","2019-1-Casual open space","CasNoDed1","ET","5","dcp31"
"Structured open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.9","1,462.38","1/07/2020 12:00 AM","30/06/2022 12:00 AM","Person",,"Indexed","2.4",,,,,,,,"[""Residential""]",,"3,510","1,043","39,988","2,503","2.4","2020-1-Structured open space","Structure1","ET","5","dcp33"
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.9","291","1/07/2020 12:00 AM","30/06/2022 12:00 AM","Person",,"Indexed","2.4",,,,,,,,"[""Residential"",""Tourist""]",,"698","224","39,988","538","2.4","2020-1-Casual open space","CasDed1","ET","5","dcp32"
"Casual open space","1","Contribution Plan No 1 - Banora Point West/Tweed Heads South Open Space Contribution","10.1.9","2,840","1/07/2020 12:00 AM","30/06/2022 12:00 AM","Lot",,"Indexed","2.4",,,,,,,,"[""Residential"",""Tourist""]",,"6,816","910","39,988","2,184","2.4","2020-1-Casual open space","CasNoDed1","ET","5","dcp31"
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","4.0","8,805","11/02/1998 12:00 AM","22/12/2009 12:00 AM","HA","Already includes clause to enable indexation for IPD","Base rate","0.1","0.13","0.17","0.21","0.24",,,,"[""Residential""]","Residential","881",,,,,"1998-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0","8,414","23/12/2009 12:00 AM","23/12/2009 12:00 AM","HA","IPD changed from 'Dwellings' to 'Engineering Construction'","Base rate","0.1","0.13","0.17","0.21","0.24",,,,"[""Residential""]","Residential","841",,,,,"2009-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0","13,144","23/12/2009 12:00 AM","30/06/2011 12:00 AM","HA","IPD changed from 'Dwellings' to 'Engineering Construction'","Indexed","0.1","0.13","0.17","0.21","0.24",,,,"[""Residential""]","Residential","1,314",,,,,"2009-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0.1","13,252","1/07/2011 12:00 AM","30/06/2012 12:00 AM","HA","IPD changed from 'Dwellings' to 'Engineering Construction'","Indexed","0.1","0.13","0.17","0.21","0.24",,,,"[""Residential""]","Residential","1,325",,,,,"2011-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0.2","13,518","1/07/2012 12:00 AM","30/06/2013 12:00 AM","HA","IPD changed from 'Dwellings' to 'Engineering Construction'","Indexed","0.1","0.13","0.17","0.21","0.24",,,,"[""Residential""]","Residential","1,352",,,,,"2012-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0.3","13,884","1/07/2013 12:00 AM","30/06/2014 12:00 AM","HA",,"Indexed","0.1","0.13","0.17","0.21","0.24",,,,"[""Residential""]","Residential","1,388",,,,,"2013-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0.4","14,037","1/07/2014 12:00 AM","30/06/2015 12:00 AM","HA",,"Indexed","0.1","0.13","0.17","0.21","0.24",,,,"[""Residential""]","Residential","1,404",,,,,"2014-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0.5","14,100","1/07/2015 12:00 AM","30/06/2016 12:00 AM","HA",,"Indexed","0.1","0.13","0.17","0.21","0.24",,,,"[""Residential""]","Residential","1,410",,,,,"2015-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0.6","14,240","1/07/2016 12:00 AM","30/06/2017 12:00 AM","HA",,"Indexed","0.1","0.13","0.17","0.21","0.24",,,,"[""Residential""]","Residential","1,424",,,,,"2016-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0.7","14,406","1/07/2017 12:00 AM","30/06/2018 12:00 AM","HA",,"Indexed","0.1",,,,,,,,"[""Residential""]",,"1,441",,,,,"2017-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0.8","16,179","1/07/2018 12:00 AM","1/07/2019 12:00 AM","HA",,"Indexed","0.1",,,,,,,,"[""Residential""]",,"1,618",,,,,"2018-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0.9","17,076","1/07/2019 12:00 AM","30/06/2020 12:00 AM","HA",,"Indexed","0.1",,,,,,,,"[""Residential""]",,"1,708",,,,,"2019-2-Drainage",,,,
"Drainage","2","Contribution Plan No 2 - Banora Point West Drainage Scheme","5.0.10","17,459","1/07/2020 12:00 AM","30/06/2022 12:00 AM","HA",,"Indexed","0.1",,,,,,,,"[""Residential""]",,"1,746","8,414","40,170","841","0.1","2020-2-Drainage","Drainage2","HA","0","dcp34"
"Sector 01-Tweed Heads","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","596","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","3,874",,,,,"2007-4-Sector 01-Tweed Heads",,,,
"Sector 02-Tweed Heads South","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","851","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","5,532",,,,,"2007-4-Sector 02-Tweed Heads South",,,,
"Sector 03-Cobaki","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","908","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","5,902",,,,,"2007-4-Sector 03-Cobaki",,,,
"Sector 04-Bilambil Heights","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","1,662","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","10,803",,,,,"2007-4-Sector 04-Bilambil Heights",,,,
"Sector 05-Terranora","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","1,388","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,022",,,,,"2007-4-Sector 05-Terranora",,,,
"Sector 05-LAC1:Area E","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","1,891","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","12,292",,,,,"2007-4-Sector 05-LAC1:Area E",,,,
"Sector 06-Kingscliff","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","782","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","5,083",,,,,"2007-4-Sector 06-Kingscliff",,,,
"Sector 07-Duranbah/Cab","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","868","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","5,642",,,,,"2007-4-Sector 07-Duranbah/Cab",,,,
"Sector 07-LAC2:Kings Forest","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","1,228","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,982",,,,,"2007-4-Sector 07-LAC2:Kings Forest",,,,
"Sector 07-LAC4:Casuarina","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","1,012","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","6,578",,,,,"2007-4-Sector 07-LAC4:Casuarina",,,,
"Sector 09-Murwillumbah","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","1,060","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","6,890",,,,,"2007-4-Sector 09-Murwillumbah",,,,
"Sector 10-Rural Inner East","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","1,455","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,458",,,,,"2007-4-Sector 10-Rural Inner East",,,,
"Sector 08-LAC3:Koala Beach/Seabreeze","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","1,105","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,183",,,,,"2007-4-Sector 08-LAC3:Koala Beach/Seabreeze",,,,
"Sector 08-Pottsville","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","1,022","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","6,643",,,,,"2007-4-Sector 08-Pottsville",,,,
"Sector 11-Burringbar","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","1,021","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","6,637",,,,,"2007-4-Sector 11-Burringbar",,,,
"Sector 12a-Rural Inner North","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","2,143","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,930",,,,,"2007-4-Sector 12a-Rural Inner North",,,,
"Sector 12b-Rural Inner West","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","1,874","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","12,181",,,,,"2007-4-Sector 12b-Rural Inner West",,,,
"Sector 13-Rural Other","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.0","2,150","20/07/2007 12:00 AM","31/01/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,975",,,,,"2007-4-Sector 13-Rural Other",,,,
"Sector 01-Tweed Heads","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","656","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","4,264",,,,,"2009-4-Sector 01-Tweed Heads",,,,
"Sector 02-Tweed Heads South","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","936","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","6,084",,,,,"2009-4-Sector 02-Tweed Heads South",,,,
"Sector 03-Cobaki","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","999","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","6,494",,,,,"2009-4-Sector 03-Cobaki",,,,
"Sector 04-Bilambil Heights","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","1,829","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","11,889",,,,,"2009-4-Sector 04-Bilambil Heights",,,,
"Sector 05-Terranora","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","1,527","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,926",,,,,"2009-4-Sector 05-Terranora",,,,
"Sector 05-LAC1:Area E","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","2,081","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,527",,,,,"2009-4-Sector 05-LAC1:Area E",,,,
"Sector 06-Kingscliff","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","861","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","5,597",,,,,"2009-4-Sector 06-Kingscliff",,,,
"Sector 07-Duranbah/Cab","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","955","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","6,208",,,,,"2009-4-Sector 07-Duranbah/Cab",,,,
"Sector 07-LAC2:Kings Forest","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","1,351","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,782",,,,,"2009-4-Sector 07-LAC2:Kings Forest",,,,
"Sector 07-LAC4:Casuarina","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","1,114","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,241",,,,,"2009-4-Sector 07-LAC4:Casuarina",,,,
"Sector 09-Murwillumbah","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","1,166","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,579",,,,,"2009-4-Sector 09-Murwillumbah",,,,
"Sector 10-Rural Inner East","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","1,601","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","10,407",,,,,"2009-4-Sector 10-Rural Inner East",,,,
"Sector 08-LAC3:Koala Beach/Seabreeze","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","1,216","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,904",,,,,"2009-4-Sector 08-LAC3:Koala Beach/Seabreeze",,,,
"Sector 08-Pottsville","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","1,125","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,313",,,,,"2009-4-Sector 08-Pottsville",,,,
"Sector 11-Burringbar","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","1,124","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,306",,,,,"2009-4-Sector 11-Burringbar",,,,
"Sector 12a-Rural Inner North","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","2,358","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","15,327",,,,,"2009-4-Sector 12a-Rural Inner North",,,,
"Sector 12b-Rural Inner West","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","2,062","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,403",,,,,"2009-4-Sector 12b-Rural Inner West",,,,
"Sector 13-Rural Other","4","Contribution Plan No 4 - Tweed Road Contribution Plan","5.1.1","2,366","1/07/2009 12:00 AM","31/01/2012 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","15,379",,,,,"2009-4-Sector 13-Rural Other",,,,
"Sector 01-Tweed Heads","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","815","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","5,298",,,,,"2012-4-Sector 01-Tweed Heads",,,,
"Sector 02-Tweed Heads South","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,318","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,567",,,,,"2012-4-Sector 02-Tweed Heads South",,,,
"Sector 03-Cobaki","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,377","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,951",,,,,"2012-4-Sector 03-Cobaki",,,,
"Sector 04-Bilambil Heights","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","2,836","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","18,434",,,,,"2012-4-Sector 04-Bilambil Heights",,,,
